1,1,6,1
1,2,4,1
1,3,10,3
1,4,10,1
1,5,1,1
1,6,6,1
1,7,6,2
1,8,8,3
1,9,6,1
1,10,0,0
2,1,9,1
2,2,1,1
2,3,3,2
2,4,5,2
2,5,9,3
2,6,7,2
2,7,1,0
2,8,1,1
2,9,3,1
2,10,0,0
3,1,7,0
3,2,8,2
3,3,3,0
3,4,1,0
3,5,3,0
3,6,1,0
3,7,3,0
3,8,6,2
3,9,10,1
3,10,0,0
4,1,7,2
4,2,5,2
4,3,1,0
4,4,6,1
4,5,4,1
4,6,10,1
4,7,2,0
4,8,10,6
4,9,6,0
4,10,0,0
5,1,4,0
5,2,2,0
5,3,7,5
5,4,2,1
5,5,7,1
5,6,10,2
5,7,9,3
5,8,4,2
5,9,9,0
5,10,0,0
6,1,10,0
6,2,4,1
6,3,10,5
6,4,6,2
6,5,10,1
6,6,1,0
6,7,9,3
6,8,3,0
6,9,9,1
6,10,0,0
7,1,5,1
7,2,6,0
7,3,8,3
7,4,9,2
7,5,1,0
7,6,10,4
7,7,3,1
7,8,6,3
7,9,9,2
7,10,0,0
8,1,8,0
8,2,2,0
8,3,6,0
8,4,5,1
8,5,2,0
8,6,4,0
8,7,1,0
8,8,3,1
8,9,6,0
8,10,0,0
9,1,10,0
9,2,5,2
9,3,7,2
9,4,7,4
9,5,1,0
9,6,3,0
9,7,6,2
9,8,1,0
9,9,5,0
9,10,0,0
10,1,9,2
10,2,8,1
10,3,1,0
10,4,10,3
10,5,8,0
10,6,9,1
10,7,9,4
10,8,7,2
10,9,6,1
10,10,0,0
11,1,9,1
11,2,8,2
11,3,2,0
11,4,10,5
11,5,7,0
11,6,1,0
11,7,3,1
11,8,5,2
11,9,3,0
11,10,0,0
12,1,3,0
12,2,6,4
12,3,1,0
12,4,6,2
12,5,8,1
12,6,3,0
12,7,3,2
12,8,5,3
12,9,9,2
12,10,0,0
13,1,4,0
13,2,9,2
13,3,8,3
13,4,3,1
13,5,2,0
13,6,10,2
